Planet,eclipse_observed,b_occ_median,k_nominal,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,b_mean,b_std,k_mean,k_std,dominant_regime
K2-232b,False,0.1229635731652027,0.08811,0.0,0.0,1.0,0.12636617647514312,0.07261034041258078,0.08810993502829835,0.00024992227940945144,True Eclipse
Qatar-10b,False,0.335221307251665,0.1265,0.0,0.00194,0.99806,0.3387063784846937,0.11614507116346863,0.12650294800963408,0.0010017717771475358,True Eclipse
WASP-60b,False,0.363732610818482,0.077522727,0.01496,0.01988,0.96516,0.4020903188719596,0.27534779701695655,0.07752036246779216,0.0038566688063391527,True Eclipse
WASP-20b,False,0.6996612698787875,0.107930349,0.00893,0.06112,0.92995,0.6864866524223857,0.15716744081582162,0.10792841499046937,0.001064729367418017,True Eclipse
HATS-52b,False,0.4509437249658907,0.1352,0.00016,0.00868,0.99116,0.4564617924806601,0.1434790276648912,0.1351941885587487,0.002799046189802369,True Eclipse
TOI-1820b,False,0.8504856361195531,0.0777,0.0,0.10101,0.89899,0.8511004285189263,0.05703904983619574,0.07770125892438352,0.0008993563947590289,True Eclipse
TOI-2202b,False,0.3225701507935271,0.1265,0.0,0.0,1.0,0.33031798471457113,0.06896856060508463,0.12649850599247756,0.0017462786206704477,True Eclipse
TOI-4087b,False,0.3155441238444571,0.107568134,0.0,0.0,1.0,0.31665299868875246,0.09069896507126404,0.1075680449090405,0.0004536760821190842,True Eclipse
WASP-2b,False,0.7324711797349168,0.12831,0.01047,0.11055,0.87898,0.7152596882502424,0.1680725669261763,0.12830846345438515,0.0009879929565254264,True Eclipse
K2-237b,False,0.1865743816451342,0.119,0.0,0.0,1.0,0.19407349184436193,0.09930219040381419,0.1189988199444344,0.0023487328800411633,True Eclipse
KELT-20b,True,0.4868332770781211,0.1144,0.00054,0.00658,0.99288,0.47789230660392457,0.11960862161184177,0.1143983491372379,0.0006148370927875692,True Eclipse
WASP-107b,False,0.0939303823080043,0.146358976,0.0,0.0,1.0,0.10035668776824876,0.06039086735310169,0.14635783460561475,0.0006815361937034925,True Eclipse
TOI-2498b,False,0.44641793063684,0.04,0.01255,0.01256,0.97489,0.46281227722133655,0.24306612897905977,0.0399573204814836,0.009994078537884529,True Eclipse
WASP-197b,False,0.412733081168727,0.0627,0.0,0.0,1.0,0.4077204892070578,0.0981665514340945,0.06270124080583407,0.0006999680992112252,True Eclipse
WASP-187b,False,0.7404532004892119,0.059551521,0.02613,0.0507,0.92317,0.7298836474554611,0.1720554654700436,0.05954989878544486,0.0016685081658160523,True Eclipse
Kepler-1517b,False,0.8247534393287372,0.050506,0.3185,0.07267,0.60883,0.8774379505860773,0.4818274570720057,0.050499477895501924,0.004480878331439994,True Eclipse
WASP-170b,False,0.6756919241440307,0.1175,0.00783,0.04966,0.94251,0.6621215978750299,0.156502746380873,0.11749145548573502,0.004108399286827026,True Eclipse
WASP-61b,False,0.0998206414288418,0.089455287,0.0,0.0,1.0,0.10094694739432171,0.059595472866926985,0.08945537307276726,0.0004478480060530359,True Eclipse
WASP-37b,False,0.193151552166516,0.11884817,0.0,0.0,1.0,0.205155222178198,0.1233920481346037,0.11884753768848708,0.0011212748417340523,True Eclipse
WASP-46b,True,0.7228633911524491,0.14075,0.00801,0.10298,0.88901,0.7035775206154445,0.1570872656268288,0.14075125700619082,0.0003499575916133993,True Eclipse
HD191939b,False,0.6138334251541211,0.03319,0.0,0.0,1.0,0.6184920139656791,0.04381476472990171,0.03318893775551333,0.0002570507841085984,True Eclipse
TOI-4914b,False,1.7049988279444024,0.118,1.0,0.0,0.0,1.704128520096581,0.11826064549184181,0.11798759881450414,0.0020067505066911763,False Eclipse
TOI-1898b,False,1.8618417620156469,0.0533987,0.96505,0.01532,0.01963,1.8649042068923076,0.4658305101143943,0.05339957269449417,0.001195821258356401,False Eclipse
WASP-17b,True,0.3796512414993631,0.130152994,0.0,0.0,1.0,0.38568681710448904,0.07884272190908813,0.1301578422780269,0.0010011777185968739,True Eclipse
TOI-5108b,False,0.8497905264256057,0.0472,0.09363,0.10399,0.80238,0.8341257924716372,0.19174818689315243,0.04719982124762414,0.0007007113681662215,True Eclipse
WASP-91b,False,0.4896412511004938,0.123076239,0.0,0.00814,0.99186,0.4867741961557862,0.13144715368767404,0.12307862894072084,0.0012162382840381315,True Eclipse
WASP-121b,True,0.1489139572359331,0.12454,0.0,0.0,1.0,0.15125734973120597,0.052884283683628484,0.12454060521663217,0.00047521029044857415,True Eclipse
WASP-172b,False,0.4352563123412266,0.084469851,0.0071,0.00314,0.98976,0.44705054097148905,0.18599659248030778,0.08446933359052125,0.0011870468596265793,True Eclipse
HATS-51b,False,0.3345334194802624,0.101,0.00597,0.00391,0.99012,0.3557819242854025,0.19936478402647836,0.1009916684717088,0.0037979549547605693,True Eclipse
WASP-173Ab,False,0.2701064733508499,0.1203,0.00463,0.00384,0.99153,0.2918187047664463,0.18333396096525587,0.1202870034481445,0.0030121490781254263,True Eclipse
Kepler-138b,False,0.7118840145082851,0.010967193,0.0,0.0,0.0,0.7123635198840161,0.04833373471576735,,,False Eclipse
HD118203b,False,0.1683348521337168,0.05541,0.0,0.0,1.0,0.17156939729815007,0.09548635366823333,0.055409194627469904,0.00021376060297432874,True Eclipse
WASP-136b,False,0.5675316000384429,0.064,0.00531,0.00396,0.99073,0.5614573255482245,0.14299886029023445,0.06402306592552341,0.011958701849236125,True Eclipse
WASP-186b,False,0.8165556708651571,0.078,0.22885,0.15511,0.61604,0.8763074234704739,0.2274734858924367,0.07810063460148857,0.0170383818227145,True Eclipse
TRAPPIST-1b,True,0.0962169179470035,0.0859,0.0,0.0,1.0,0.10275999153526379,0.05929770111886303,0.08589951256030144,0.0003700417059124113,True Eclipse
TRAPPIST-1c,True,0.1028661399398894,0.0844,0.0,0.0,1.0,0.10827578410913842,0.061026488370163154,0.08439991092580572,0.0003789792995779096,True Eclipse
TRAPPIST-1d,False,0.0734155189533063,0.06063,0.0,0.0,1.0,0.07930878377119216,0.04973077454045913,0.06062740843706094,0.0005203679389599251,True Eclipse
TRAPPIST-1e,False,0.1861858350494858,0.07079,0.0,0.0,1.0,0.1878281640205485,0.06164099583579271,0.07079019625610264,0.0005482094786944749,True Eclipse
TRAPPIST-1f,False,0.3039143319243645,0.0804,0.0,0.0,1.0,0.2991490352940812,0.07470735363572845,0.08040205079327363,0.0004707373752270315,True Eclipse
TRAPPIST-1g,False,0.3704649290449527,0.08692,0.0,0.0,1.0,0.36187193522197836,0.0843952300631031,0.08691875518261734,0.000530160381405454,True Eclipse
TRAPPIST-1h,False,0.369354395912542,0.05809,0.0,0.0,1.0,0.36288418435927616,0.08680941441173047,0.05809332905992557,0.000867900027384508,True Eclipse
WASP-148b,False,0.2756976760806553,0.08498,0.0,0.0,1.0,0.2759540939902311,0.09531304862193324,0.08498071128673544,0.0007257251619915619,True Eclipse
GJ341b,False,0.3355766049486249,0.016,0.00851,0.0004,0.99109,0.3494711014573776,0.21825048329207403,0.01599795189703346,0.0007988646782995776,True Eclipse
TOI-5882b,False,0.2127445402884759,0.0465,0.0,0.0,1.0,0.21854162433122643,0.12235455633699639,0.0464987907222939,0.001297977438463045,True Eclipse
LHS1678c,False,0.448337359749664,0.0262,0.00302,0.00174,0.99524,0.4660586782278251,0.1305550117178974,0.02619860928037201,0.0011535744504715402,True Eclipse
Kepler-444e,False,0.2982761153332239,0.00664,0.0051,0.00023,0.99467,0.3151972527161142,0.1751769596872462,0.006640323807402972,0.0001511419214162903,True Eclipse
WASP-62b,True,0.2214241280204664,0.106745735,0.0,0.0,1.0,0.21867269763227629,0.10043818757033543,0.10674672513300797,0.0009365730161657001,True Eclipse
WASP-89b,False,0.1306053544715011,0.12144681,0.0,0.0,1.0,0.1391502620400476,0.08474308190850519,0.121452365222408,0.0008225991323175277,True Eclipse
XO-7b,False,0.7336278050153506,0.09532,0.0,0.00449,0.99551,0.734263994857206,0.046947041879132304,0.09532118082670545,0.0009308625899709053,True Eclipse
K2-415b,False,0.3297874789813152,0.0472,0.00844,0.00143,0.99013,0.35464305582162925,0.2118847193060722,0.04720879527059164,0.001903276764741574,True Eclipse
HATS-13b,False,0.2322027109734701,0.1402,0.0,0.0,1.0,0.23786780202853355,0.09244594929182443,0.14019771526687486,0.0016020814238968896,True Eclipse
Qatar-7b,False,0.090131206973023,0.11,0.0,0.0,1.0,0.10227247967143352,0.07235297023779699,0.10999614310749778,0.0009993376274420728,True Eclipse
TOI-1248b,False,0.5691434650706759,0.07186602,0.00824,0.0148,0.97696,0.5737475663125958,0.1704892712470259,0.07186610462324193,0.0005860848371232682,True Eclipse
HAT-P-60b,False,0.6565083393505972,0.07622,0.00666,0.0159,0.97744,0.6392277466952044,0.14432297236320854,0.07621856683800687,0.000551517476304905,True Eclipse
HATS-3b,False,0.4724176302320632,0.1011,0.0,0.00403,0.99597,0.46759528633614217,0.11300127018086037,0.1011010061795483,0.0006014393842955036,True Eclipse
TOI-3568b,False,0.2613443979032227,0.067,0.00165,0.00406,0.99429,0.28741514515408834,0.18596340184773097,0.06700820277013894,0.0030009387085938267,True Eclipse
